Symbol,Diluted EPS,Current Price,P/E Ratio
UPL.NS,-2.54,595.299987792969,-234.37007393424
TATASTEEL.NS,-5.07,139.949996948242,-27.6035496939334
BPCL.NS,38.71,456.549987792969,11.7941097337372
IOC.NS,9.53,130.850006103516,13.7303259290153
ONGC.NS,10.92,205.850006103516,18.8507331596626
SBIN.NS,18.04,641.5,35.559866962306
COALINDIA.NS,11.03,394.5,35.766092475068
AXISBANK.NS,20.02,1094.05004882813,54.6478545868194
INDUSINDBK.NS,28.31,1584.05004882813,55.9537283231411
POWERGRID.NS,4.06,238.800003051758,58.8177347418123
HINDALCO.NS,9.87,617.25,62.5379939209727
ICICIBANK.NS,15.27,984.650024414063,64.4826473093689
NTPC.NS,4.76,306.950012207031,64.4852966821494
DRREDDY.NS,88.78,5926.39990234375,66.7537722724009
JSWSTEEL.NS,11.33,869.849975585938,76.7740490367112
HDFCBANK.NS,22.03,1698.80004882813,77.1130299059521
HDFCBANK.NS,22.03,1698.80004882813,77.1130299059521
M&M.NS,20.99,1654.30004882813,78.8137231456944
TATAMOTORS.NS,9.8,785,80.1020408163265
HEROMOTOCO.NS,50.25,4101.39990234375,81.6198985541045
MARUTI.NS,124.61,10196.2001953125,81.8248952356352
KOTAKBANK.NS,22.45,1868.5,83.2293986636971
CIPLA.NS,14,1280.30004882813,91.4500034877232
WIPRO.NS,5.04,469.25,93.1051587301587
BAJAJ-AUTO.NS,71.4,6657.85009765625,93.2472002472864
RELIANCE.NS,25.71,2608.5,101.458576429405
HCLTECH.NS,14.13,1469.55004882813,104.002126597886
EICHERMOT.NS,37.06,3897.75,105.174042093902
GRASIM.NS,17.71,2100.60009765625,118.610959777315
ITC.NS,3.92,470.700012207031,120.076533726283
TCS.NS,31,3787.60009765625,122.180648311492
BAJFINANCE.NS,58.45,7419.9501953125,126.945255693969
SUNPHARMA.NS,9.9,1296.25,130.934343434343
ADANIPORTS.NS,8.09,1077.44995117188,133.18293586797
BAJAJFINSV.NS,12,1686.44995117188,140.53749593099
LT.NS,22.92,3445,150.305410122164
BRITANNIA.NS,24.41,5282.60009765625,216.411310842124
SHREECEM.NS,123.78,28057.55078125,226.672732115447
TECHM.NS,5.57,1279.15002441406,229.649914616528
ULTRACEMCO.NS,44.43,10203.75,229.659014179608
HINDUNILVR.NS,11.3,2610,230.973451327434
ASIANPAINT.NS,12.57,3385.85009765625,269.359594085621
NESTLEIND.NS,94.18,27225.94921875,289.084192171905
TATACONSUM.NS,3.64,1099.34997558594,302.019224062071
DIVISLAB.NS,13.11,4007.44995117188,305.678867366276
HDFCLIFE.NS,1.94,645.349975585938,332.654626590689
APOLLOHOSP.NS,16.2,5737.4501953125,354.163592303241
TITAN.NS,10.31,3701.5,359.0203685742
SBILIFE.NS,3.79,1434.5,378.496042216359
BHARTIARTL.NS,2.31,1019.75,441.450216450216
INFY.NS,0.18,1534.40002441406,8524.44458007813
